Round,Sheep alive
1,20
1,15
2,15
3,15
4,15
5,15
6,14
7,14
8,14
9,14
10,13
1,15
2,15
3,14
4,14
5,14
6,14
7,14
8,14
9,13
10,13
11,13
12,13
13,13
14,13
15,12
16,12
17,12
18,12
19,11
20,11
21,11
22,11
23,11
24,10
25,10
26,10
27,10
28,10
29,10
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,8
45,8
46,8
47,8
48,8
49,8
50,8
1,15
2,15
3,15
4,15
5,15
6,15
7,14
8,14
9,14
10,14
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,12
22,12
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
1,15
2,15
3,14
4,14
5,13
6,13
7,12
8,12
9,12
10,12
11,11
12,11
13,11
14,11
15,11
16,11
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
1,15
2,15
3,15
4,15
5,14
6,14
7,14
8,14
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,12
18,12
19,12
20,12
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,10
30,10
31,10
32,10
33,10
34,10
35,9
36,9
37,9
38,9
39,9
40,8
41,8
42,8
43,8
44,8
45,8
46,7
47,7
48,7
49,7
50,7
1,15
2,15
3,14
4,14
5,14
6,14
7,14
8,14
9,13
10,13
11,13
12,13
13,12
14,12
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,8
45,8
46,7
47,7
48,7
49,7
50,7
1,15
2,15
3,14
4,14
5,14
6,14
7,14
8,14
9,13
10,13
11,13
12,13
13,13
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,11
48,11
49,11
50,11
1,15
2,15
3,14
4,14
5,14
6,14
7,13
8,13
9,13
10,13
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,11
20,11
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,9
32,9
33,9
34,9
35,9
36,9
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,8
50,8
1,15
2,15
3,14
4,14
5,14
6,14
7,14
8,14
9,13
10,13
11,12
12,12
13,12
14,12
15,11
16,11
17,10
18,10
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
1,15
2,15
3,14
4,14
5,14
6,14
7,13
8,13
9,13
10,12
11,12
12,12
13,12
14,11
15,11
16,11
17,10
18,10
19,9
20,9
21,9
22,9
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,7
32,7
33,7
34,7
35,6
36,6
37,5
38,5
39,5
40,5
41,5
42,5
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
1,15
2,14
3,14
4,14
5,13
6,13
7,12
8,12
9,12
10,12
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,9
30,9
31,9
32,9
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,7
44,7
45,7
46,7
47,7
48,7
49,6
50,6
